jcat,piece,type,inclination,reentry_date,dry_mass
S32485,2008-004B,R3          ,51.62,2008-02-08T00:00:00Z,   2350 
S32707,2008-010B,R2      C   ,63.56,2015-11-03T06:00:00Z,   2020 
S32712,2008-012B,R3          ,40.01,2019-08-30T23:30:00Z,    132 
S32713,2008-012C,R2          ,33.17,2008-09-08T00:00:00Z,    924 
S32751,2008-014B,R2          ,98.16,2014-11-23T01:36:00Z,   1434 
S32757,2008-015B,R3          ,51.6,2008-04-11T00:00:00Z,   2350 
S32764,2008-016B,R2          ,22.46,2009-02-03T00:00:00Z,   2020 
S32766,2008-017B,R3          ,13,2022-10-13T05:34:00Z,    202 
S32770,2008-018D,C  A        ,2.05,2014-09-26T00:34:00Z,    440 
S32780,2008-019B,R3          ,17.98,2011-03-05T00:00:00Z,   2800 
S32848,2008-023B,R3          ,51.64,2008-05-18T00:00:00Z,   2350 
S33052,2008-028B,R3          ,24.13,2014-01-16T23:08:00Z,   2800 
S33054,2008-029B,R2          ,21.54,2008-06-29T00:00:00Z,    924 
S33058,2008-030D,C  A        ,2.02,2021-05-20T11:02:00Z,    440 
S33109,2008-033B,C  A        ,51.65,2008-06-28T00:00:00Z,    800 
S33110,2008-033C,R3          ,51.66,2008-07-01T00:00:00Z,   4185 
S33112,2008-033E,C  M        ,47.88,2013-05-03T00:00:00Z,     56 
S33113,2008-033F,C  M        ,47.93,2019-08-11T00:00:00Z,     56 
S33156,2008-034D,R2          ,1.98,2024-12-30T21:30:00Z,   5000 
S33245,2008-036B,R2          ,98.15,2014-05-01T21:56:00Z,   1434 
S33273,2008-037B,R3          ,98.31,2008-12-14T00:00:00Z,   2710 
S33317,2008-040F,C  A        ,98,2013-07-07T00:00:00Z,    200 
S33322,2008-041C,R2          ,98.01,2010-01-22T00:00:00Z,   3800 
S33324,2008-041E,C  A        ,98.01,2010-08-12T00:00:00Z,      0 
S33332,2008-042B,R2          ,96.66,2008-10-21T00:00:00Z,    919 
S33341,2008-043B,R3          ,51.62,2008-09-14T00:00:00Z,   2350 
S33381,2008-046D,C  A        ,64.81,2008-09-26T22:30:00Z,    800 
S33382,2008-046E,R3          ,64.81,2008-09-26T12:30:00Z,   3500 
S33387,2008-047B,R2          ,42.41,2008-10-17T00:00:00Z,   5500 
S33400,2008-050B,R3          ,51.63,2008-10-16T00:00:00Z,   2350 
S33402,2008-051B,R3          ,11,2008-11-16T00:00:00Z,    202 
S33403,2008-051C,C  A        ,11,2008-10-28T00:00:00Z,     10 
S33411,2008-053D,C  A        ,97.74,2017-11-11T00:00:00Z,     50 
S33413,2008-054B,R2          ,98.36,2008-12-21T00:00:00Z,    919 
S33415,2008-055B,R3          ,24.36,2020-10-25T08:02:00Z,   2800 
S33435,2008-056C,R2          ,98.07,2013-01-29T00:00:00Z,   4006 
S33440,2008-058B,R3          ,67.18,2008-11-23T00:00:00Z,   2350 
S33444,2008-060B,R3          ,51.62,2008-11-29T00:00:00Z,   2350 
S33448,2008-062B,C  M        ,62.84,2009-01-27T00:00:00Z,    328 
S33449,2008-062C,R3          ,62.86,2009-04-06T00:00:00Z,   2350 
S33450,2008-062D,R4          ,62.83,2021-06-24T15:00:00Z,    900 
S33457,2008-064B,R3          ,97.28,2011-12-06T00:00:00Z,   1000 
S33469,2008-067D,R3          ,64.82,2008-12-26T16:30:00Z,   3500 
S33470,2008-067E,C  A        ,64.81,2008-12-25T00:00:00Z,    800 
S33507,2009-004B,R2          ,55.55,2009-05-31T00:00:00Z,    400 
S33592,2009-005B,R2          ,102.02,2009-04-21T00:00:00Z,    924 
S33594,2009-006B,R3          ,51.62,2009-02-13T00:00:00Z,   2350 
S33597,2009-007C,C  M        ,44.68,2021-11-14T00:00:00Z,   1000 
S33753,2009-008E,C  A        ,2.25,2018-02-03T11:22:00Z,    440 
S34266,2009-010C,C  A        ,51.65,2009-03-01T00:00:00Z,    800 
S34267,2009-010D,R3          ,51.64,2009-03-03T00:00:00Z,   4185 
S34268,2009-010E,C  M        ,47.52,2009-09-14T00:00:00Z,     56 
S34269,2009-010F,C  M        ,47.52,2009-08-11T00:00:00Z,     56 
S34603,2009-013B,R3          ,96.64,2009-05-01T00:00:00Z,   2370 
S34662,2009-014B,R3          ,40.09,2015-09-28T13:22:00Z,    132 
S34663,2009-014C,R2          ,34.37,2009-06-29T00:00:00Z,    924 
S34670,2009-015B,R3          ,51.63,2009-03-30T00:00:00Z,   2350 
S34809,2009-019C,R4          ,41.1,2015-05-27T12:02:00Z,    920 
S34840,2009-021B,R2          ,97.6,2014-12-14T11:20:00Z,   4006 
S34872,2009-022B,R3          ,67.14,2009-05-04T00:00:00Z,   2350 
S34904,2009-023B,R2      C   ,112.78,2009-07-30T00:00:00Z,    924 
S34906,2009-024B,R3          ,51.62,2009-05-10T00:00:00Z,   2350 
S34943,2009-027C,C  M        ,49.18,2016-01-15T07:20:00Z,   1000 
S35006,2009-028F,R4          ,40.47,2012-11-05T00:00:00Z,    410 
S35009,2009-029B,R4          ,62.86,2020-08-31T00:00:00Z,   1000 
S35011,2009-030B,R3          ,51.63,2009-05-31T00:00:00Z,   2350 
S35497,2009-035B,R2          ,6.08,2016-10-31T15:11:00Z,   5000 
S35642,2009-040B,R3          ,51.63,2009-07-28T00:00:00Z,   2350 
S35695,2009-038G,C -A-S-     ,51.64,2010-02-19T00:00:00Z,     19 
